"LeftTag","LeftMaster","Date","Year","Ranch","Part","Sex.x","Age","Xloc","Yloc","AdjWt","HindFootLength","BodyLength","BCS","Lactation","RumpFat","Arrival_Time","Fecal","AnnualRain","rain_1month_Previous","rain_2month_Previous","rain_3month_Previous","rain_April","rain_March_April","rain_March_July","rain_July_August","Percent_Sand","AnnualBiomass","WoodyCover","Capt_Loc"
118,"118",2015-10-23,2015,"SR",NA,FALSE,5.5,613401.4303,3007364.062,53.070264,14.625,54,3,"No - Not lactating",NA,"15:28",83.13682584,1082.29489228183,70.7780564547599,183.518215167433,208.851660033235,141.272525850096,274.169697694492,642.962333505567,58.8079699949825,73.6184783293274,4910.09149231783,17.9488358063344,"SR"
3974,"3974",2015-10-23,2015,"SR",NA,FALSE,1.5,615448.2446,3006621.934,43.09124,14.125,51,3,"Yes - Lactating",NA,"11:29",142.8193805,1089.47509765625,69.1370005495846,190.12199928239,219.544998886064,134.362999528646,262.136000933126,634.81599812489,63.4699993561953,78.7962622434301,2978.90044538366,39.2947650812096,"SR"
4910,"4910",2015-10-23,2015,"SR",NA,FALSE,1.5,615388.8823,3006687.411,41.276872,14.625,52.5,4,"No - Not lactating",NA,"11:24",155.4846769,1089.47509765625,69.1370005495846,190.12199928239,219.544998886064,134.362999528646,262.136000933126,634.81599812489,63.4699993561953,78.5589988571452,2871.81922857904,40.5571326529278,"SR"
4931,"4931",2015-10-23,2015,"SR",NA,FALSE,3.5,615717.0377,3009217.254,44.905608,14,54.375,3,"Yes - Lactating",NA,"14:51",115.0340523,1077.29504394531,67.6010003089905,182.273000921821,200.287000383949,134.79700113833,269.055000957102,639.74400249403,53.7809988260269,75.9272960932588,4221.97623513877,26.6937239591996,"SR"
4938,"4938",2015-10-23,2015,"SR",NA,FALSE,2.5,613348.5345,3008817.402,35.833768,10.75,52.125,3,"No - Not lactating",NA,"15:07",45.28868184,1083.71364928759,65.6358699154042,178.898007806728,195.573832434634,143.873700108544,283.042952625887,652.710712424902,51.0147254912334,75.3100817163636,4907.97064339461,19.5350034310786,"SR"
4940,"4940",2015-10-23,2015,"SR",NA,FALSE,2.5,613857.8152,3008611.461,43.998424,13.75,52.75,4,"No - Not lactating",NA,"15:04",77.47789993,1079.11991108224,67.0422960915175,181.313460072268,198.947004412417,137.377588162958,273.031901226247,643.430554566488,52.9945224762252,74.0676825791774,5318.59361047114,13.4607357644915,"SR"
1731,"1731",2015-11-13,2015,"BV",NA,FALSE,3.5,551245.4798,2979880.468,41.730464,14.25,52.75,2,"Yes - Lactating",NA,"9:59",131.3862343,652.499161164479,99.1616547404465,127.033892345438,155.048534704474,117.773481539459,229.633675184365,421.348307783558,4.49642976950632,68.9248716448894,1472.59009955842,40.3424415999593,"BV"
1764,"1764",2015-11-13,2015,"BV",NA,FALSE,6.5,551185.1617,2982863.512,40.369688,13.875,55.625,2,"No - Not lactating",NA,"11:16",126.5750464,648.839840752927,99.7316167678991,125.906124704816,152.93537835651,117.761112451278,231.281599971508,420.048806345605,4.68008351276964,64.9311634567171,2860.83962760431,29.7879996047202,"BV"
1772,"1772",2015-11-13,2015,"BV",NA,FALSE,6.5,552285.1392,2982552.374,41.276872,14.625,55.625,2,"Yes - Lactating",NA,"13:58",106.5581768,673.47250191656,103.857205935983,135.374004871308,161.265655288774,115.769419303706,228.39848797288,436.08989927355,7.31612287905223,64.4667348576503,2684.11573990975,25.110875596865,"BV"
294,"294",2015-11-13,2015,"BV",NA,FALSE,1.5,553012.9989,2983150.562,40.82328,14.25,53.75,1,"Yes - Lactating",NA,"13:41",70.82840411,674.3310546875,104.001000225544,135.704000672325,161.556000789627,115.700000345707,228.297999285161,436.648999432917,7.40800003707409,62.5184280145355,3043.39274306191,24.5791498712187,"BV"
